"""title""","""rating""","""poster"""," ""year"""," ""genres"""," ""director""","""plot""","""actors"""
"""12 Angry Men""",,," ""4/10/1957"""," ""Drama"""," ""Sidney Lumet""",,
"""2001: A Space Odyssey""",,," ""4/3/1968"""," ""Science fiction"""," ""Stanley Kubrick""",,
"""A Clockwork Orange""",,," ""12/19/1971"""," ""Drama"," ""Stanley Kubrick""",,
"""A Night At The Opera""",,," ""11/15/1935"""," ""Comedy"""," ""Sam Wood""",,
"""A Streetcar Named Desire""",,," ""3/22/1952"""," ""Drama"""," ""Elia Kazan""",,
"""All About Eve""",,," ""10/27/1950"""," ""Drama"""," ""Joseph L. Mankiewicz""",,
"""All The President's Men""",,," ""4/1/1976"""," ""Drama"""," ""Alan J. Pakula""",,
"""American Graffiti""",,," ""8/11/1973"""," ""Comedy"""," ""George Lucas""",,
"""Annie Hall""",,," ""4/20/1977"""," ""Romantic comedy"""," ""Woody Allen""",,
"""Apocalypse Now""",,," ""8/15/1979"""," ""Drama"""," ""Francis Ford Coppola""",,
"""Ben-Hur""",,," ""1/29/1960"""," ""Epic"""," ""William Wyler""",,
"""Blade Runner""",,," ""6/25/1982"""," ""Science fiction"""," ""Ridley Scott""",,
"""Bonnie And Clyde""",,," ""8/13/1967"""," ""Biography"," ""Arthur Penn""",,
"""Bringing Up Baby""",,," ""2/18/1938"""," ""Screwball comedy"""," ""Howard Hawks""",,
"""Butch Cassidy And The Sundance Kid""",,," ""10/24/1969"""," ""Comedy-drama"," ""George Roy Hill""",,
"""Cabaret""",,," ""2/13/1972"""," ""Drama"," ""Bob Fosse""",,
"""Casablanca""",,," ""1/23/1943"""," ""Romance"""," ""Michael Curtiz""",,
"""Chinatown""",,," ""6/20/1974"""," ""Mystery"," ""Roman Polanski""",,
"""Citizen Kane""",,," ""9/5/1941"""," ""Drama"""," ""Orson Welles""",,
"""City Lights""",,," ""3/7/1931"""," ""Comedy-drama"""," ""Charles Chaplin""",,
"""Do The Right Thing""",,," ""6/30/1989"""," ""Drama"""," ""Spike Lee""",,
"""Double Indemnity""",,," ""4/24/1944"""," ""Film noir"""," ""Billy Wilder""",,
"""Dr. Strangelove""",,," ""1/29/1964"""," ""Black comedy"""," ""Stanley Kubrick""",,
"""Duck Soup""",,," ""11/17/1933"""," ""Comedy"""," ""Leo McCarey""",,
"""E.T""",,," ""6/11/1982"""," ""Fantasy"," ""Steven Spielberg""",,
"""Easy Rider""",,," ""7/14/1969"""," ""Drama"""," ""Dennis Hopper""",,
"""Forrest Gump""",,," ""7/6/1994"""," ""Comedy-drama"""," ""Robert Zemeckis""",,
"""Gone With The Wind""",,," ""1/17/1940"""," ""Romance"""," ""Victor Fleming""",,
"""Goodfellas""",,," ""9/19/1990"""," ""Drama"""," ""Martin Scorsese""",,
"""High Noon""",,," ""7/30/1952"""," ""Western"""," ""Fred Zinnemann""",,
"""In The Heat Of The Night""",,," ""8/2/1967"""," ""Drama"""," ""Norman Jewison""",,
"""Intolerance""",,," ""9/5/1916"""," ""Drama"""," ""D. W. Griffith""",,
